Наименование мороженого	Масса порции,г	Единичный штрих-код / меняем на 	Срок хранения при t минус 18°С, не более	комментарий																																			
"Мороженое ""Стандарт"" сливочное крем-брюле"	2200	4607067938732	18 месяцев	Стандарт 																																			
"Мороженое ""Стандарт"" сливочное с ароматом фисташки"	2200	4607067938817	18 месяцев	Стандарт 																																			
"Мороженое ""Филевское"" пломбир ванильный с вишней"	2200	4607067936172	18 месяцев	Филевское Развесное 																																			
"Мороженое ""Филевское"" пломбир ванильный с черникой"	2200	4607067936196	18 месяцев	Филевское Развесное 																																			
"Мороженое ""От Деда Мороза"" с заменителем молочного жира с ароматом фисташки"	2200	4607067939180	18 месяцев	От Деда Мороза 																																			
"Мороженое пломбир шоколадный с кусочками шоколадного печенья с абрикосовым наполнителем, декорированное шоколадной крошкой ""Вкусландия"""	450	4607067938398	18 месяцев	Вкусландия																																			
Мороженое двухслойное пломбир крем-брюле с кешью и пломбир ванильный с кусочками шоколадного печенья с мягкой карамелью, декорированное лепестками миндаля «Вкусландия» 	450	4620032652730	18 месяцев	Вкусландия 																																			
Мороженое двухслойное пломбир ванильный с черникой и пломбир с ароматом малины с воздушным зефиром, декорированное кусочками малины «Вкусландия» 	450	4620032652723	18 месяцев	Вкусландия 																																			
Мороженое сливочное ванильное	1300	4620032652846	18 месяцев	СТМ Аэромар																																			
Мороженое пломбир ванильный	450	4620032653010	18 месяцев	СТМ Тандер Снежное лакомство																																			
Мороженое пломбир ванильный	450	4620032653041	18 месяцев	СТМ Тандер Магнит																																			
Мороженое сливочное крем-брюле	450	4620032653591	18 месяцев	Семейное																																			
Мороженое сливочное шоколадное	450	4620032653584	18 месяцев	Семейное																																			
"Мороженое пломбир с ароматом карамели с шоколадным топпингом и воздушным зефиром ""Вкусландия"""	450	4620032653676	18 месяцев	Вкусландия																																			
"Мороженое с заменителем молочного жира ванильное ""От Деда Мороза"" "	800	4607067934727	18 месяцев	От Деда Мороза (колбаса)																																			
"Мороженое пломбир  ванильный ""Филёвский"" "	500	4607067935311	18 месяцев	Филёвский																																			
"Мороженое пломбир  ванильный ""Филёвский"" "	1000	4607067935076	18 месяцев	Филёвский (колбаса)																																			
Мороженое с заменителем молочного жира ванильное	1000	4607067937476	18 месяцев	"""подушка"" с ЗМЖ "																																			
"Мороженое с заменителем молочного жира   шоколадное ""Бочонок мороженого"""	900	4607067932921	18 месяцев	"Бочонок мороженого ""Фирменное"""																																			
Мороженое пломбир ванильный	450	4607067935823	12 месяцев	пакет Филевский																																			
"Мороженое пломбир ""Вологодский пломбир"""	500	4607067938435	12 месяцев	пакет Вологодский пломбир (бумажный)																																			
Мороженое пломбир ванильный	450	4620032653171	18 месяцев	семейное																																			
Мороженое с заменителем молочного жира ванильное	900	4620032653416	18 месяцев	"""Подушка"" 3х шовный пакет"																																			
"Мороженое с заменителем молочного жира шоколадное ""Бочонок мороженого"""	800	4620032653423	18 месяцев	Бочонок мороженого. 3х шовный пакет																																			
"Мороженое пломбир ванильный ""Филёвский"""	400	4620032653430	18 месяцев	Филёвский (3х шовный пакет)																																			
"Мороженое пломбир ванильный ""Филёвский"""	800	4620032653447	18 месяцев	Филёвский (3х шовный пакет)																																			
"Мороженое с заменителем молочного жира ванильное ""От Деда Мороза"""	800	4620032653454	18 месяцев	ЗМЖ От Деда Мороза (3х шовный пакет)																																			
Мороженое эскимо с заменителем молочного жира ванильное в шоколадной глазури	60	4620032651450	18 месяцев																																				
Мороженое пломбир со вкусом кофе с молочной солёной карамелью	300	4620032652099	18 месяцев	СТМ Фреш Маркет Пластиковое ведро 																																			
"Мороженое пломбир с наполнителем ""Вишня"" и кусочками темного шоколада"	300	4620032652105	18 месяцев	СТМ Фреш Маркет Пластиковое ведро																																			
Мороженое пломбир ванильный в вафлях	80	4620032652129	12 месяцев	СТМ Фреш Маркет 																																			
Замороженный взбитый десерт шербет черносмородиновый	80	4620032652143	12 месяцев	СТМ Фреш Маркет 																																			
Замороженный взбитый десерт шербет из манго 	80	4620032652136	12 месяцев	СТМ Фреш Маркет 																																			
"Мороженое пломбир со вкусом вишни с наполнителем ""Вишня"" в вафельном стаканчике ""Как раньше"""	90	4620032652372	12 месяцев	Как раньше 																																			
"Мороженое эскимо пломбир со вкусом фисташки с кешью в ""шоколадной"" глазури с кешью и бисквитной крошкой. CARO"	80	4620032652389	12 месяцев	эскимо Каро 																																			
"Мороженое пломбир ванильный с изюмом в вафельном стаканчике ""Как раньше"""	90	4620032652457	12 месяцев	Как раньше 																																			
Мороженое с заменителем молочного жира ванильное в вафельном стаканчике	70	4600236000766	18 месяцев	Мурманский стаканчик 																																			
Замороженный взбитый десерт шербет черносмородиновый в ванильном пломбире в белой глазури Natur Ice Смусси	70	4620032652488	18 месяцев	батончик Натур Айс 																																			
"Мороженое пломбир ванильный ""Как раньше"""	400	4620032652402	12 месяцев	пакет Петрохолод																																			
"Мороженое пломбир ванильный с кусочками шоколада ""Как раньше"""	400	4620032652419	12 месяцев	пакет Петрохолод 																																			
"Мороженое пломбир ванильный с наполнителем из чёрной смородины ""Как раньше"""	400	4620032652426	12 месяцев	пакет Петрохолод 																																			
"Мороженое эскимо сливочное шоколадное в белой глазури ""Белые ночи"""	70	4620032652594	12 месяцев	"эскимо ""Белые ночи"""																																			
Замороженный взбитый десерт шербет из манго	80	4620032652556	12 месяцев	СТМ метро																																			
Замороженный взбитый десерт шербет клюквенный	80	4620032652440	12 месяцев	СТМ метро																																			
Замороженный взбитый десерт шербет черносмородиновый	80	4620032652365	12 месяцев	СТМ метро																																			
Мороженое сливочное ванильное с клубничным наполнителем в вафельном сахарном рожке с шоколадной глазурью	100	4620032653188	18 месяцев	Ленинградское																																			
"Мороженое пломбир ванильный в ""шоколадно-сливочной"" взбитой глазури. Лакомочка"	90	4620032653072	18 месяцев	Лакомочка. 																																			
Мороженое сливочное крем-брюле. Петрохолод	450	4620032653614	18 месяцев	лоток Петрохолод																																			
Мороженое сливочное шоколадное с шоколадным топпингом. Петрохолод	450	4620032653669	18 месяцев	лоток Петрохолод																																			
"Мороженое сливочное ванильное с наполнителем ""Лесная ягода"""	450	4620032653645	18 месяцев	Лоток Ленинградское																																			
Мороженое сливочное с ароматом карамели с кешью в сахаре с мягкой карамелью	450	4620032653638	18 месяцев	Лоток Ленинградское																																			
Мороженое сливочное с ароматом клубники с клубничным наполнителем. Петрохолод	450	4620032653621	18 месяцев	Лоток Петрохолод																																			
"Мороженое рулет двухслойный пломбир ванильный и с ароматом черной смородины с наполнителем ""Черная смородина"", декорированное молочно-""шоколадной"" глазурью"	400	4620032653652	18 месяцев	рулет Ленинградское																																			
Мороженое пломбир ванильный	200	4600236000094	12 месяцев	брикет Петрохолод 																																			
Мороженое пломбир ванильный с шоколадной крошкой	200	4600236001138	12 месяцев	брикет Петрохолод																																			
Мороженое пломбир крем-брюле	200	4600236000223	12 месяцев	брикет Петрохолод 																																			
Мороженое пломбир шоколадный	200	4600236000100	12 месяцев	брикет Петрохолод																																			
Мороженое пломбир шоколадный с шоколадной крошкой	200	4600236001145	12 месяцев	брикет Петрохолод 																																			
Мороженое пломбир ванильный с наполнителем из чёрной смородины. Петрохолод	200	4600236000230	12 месяцев	брикет Петрохолод																																			
Мороженое сливочное ванильное в вафельном стаканчике	70	4600236000353	18 месяцев	стаканчик Петрохолод 																																			
Мороженое сливочное крем-брюле в вафельном стаканчике	70	4600236000247	18 месяцев	стаканчик Петрохолод 																																			
Мороженое сливочное шоколадное в вафельном стаканчике	70	4600236000360	18 месяцев	стаканчик Петрохолод 																																			
Мороженое сливочное с чёрной смородиной в вафельном стаканчике	70	4600236000261	18 месяцев	стаканчик Петрохолод																																			
Мороженое пломбир крем-брюле. Петрохолод	400	4600236004290	18 месяцев	Лоток Петрохолод 																																			
"Мороженое пломбир шоколадный с ""шоколадным"" топпингом. Петрохолод"	400	4600236004306	12 месяцев	Лоток Петрохолод																																			
"Мороженое пломбир со вкусом клубники со сливками с наполнителем ""Клубника"". Петрохолод"	400	4610018970125	18 месяцев	Лоток Петрохолод 																																			
Мороженое пломбир ванильный с наполнителем из чёрной смородины. Петрохолод	400	4610018970118	18 месяцев	Лоток Петрохолод 																																			
Мороженое пломбир ванильный. Петрохолод	400	4610018970163	18 месяцев	Лоток Петрохолод 																																			
Мороженое пломбир ванильный с шоколадной крошкой. Петрохолод	400	4610018970156	18 месяцев	Лоток Петрохолод																																			
"Мороженое сливочное шоколадное в белой глазури ""Белые ночи"""	70	4600236000018	18 месяцев	СТМ Маркировка Честный знак																																			
"Мороженое сливочное ванильное с мягкой карамелью и арахисом в ""шоколадной"" глазури. Даша"	70	4600236000032	18 месяцев	батончик Даша																																			
"Мороженое сливочное двухслойное ванильное и шоколадное в ""шоколадной"" глазури. Митя"	70	4600236000025	18 месяцев	батончик Митя																																			
"Мороженое пломбир ванильный в ""шоколадно-сливочной"" взбитой глазури. Как раньше. Лакомочка"	90	4600236004788	12 месяцев	Лакомочка. Как раньше																																			
"Мороженое рулет двухслойный пломбир ванильный и с ароматом черной смородины с наполнителем ""Черная смородина"", декорированное ""шоколадной"" глазурью"	400	4600236000605	12 месяцев	рулет																																			
Замороженный взбитый десерт шербет из манго в ванильном пломбире в глазури со вкусом маракуйи Natur Ice Смусси	70	4600236004740	18 месяцев	Батончик шербет																																			
"Мороженое эскимо пломбир со вкусом клубники с клубничным наполнителем в ""шоколадной"" глазури с кусочками клубники. CARO"	80	4600236000285	12 месяцев	эскимо Каро 																																			
"Мороженое пломбир ванильный в вафельном сахарном рожке в глазури ""Как раньше"""	100	4600236004092	12 месяцев	рожок Как раньше 100г																																			
"Мороженое пломбир ванильный в вафельном сахарном рожке с ""молочно-шоколадной"" глазурью в ""шоколадной"" глазури. Золотая трубочка"	60	4600236001039	12 месяцев	рожок Золотая трубочка																																			
"Мороженое пломбир крем-брюле в вафельном сахарном рожке с ""молочно-шоколадной"" глазурью в ""шоколадной"" глазури. Золотая трубочка"	60	4600236002388	12 месяцев	рожок крем-брюле Золотая трубочка 																																			
Мороженое пломбир ванильный в вафельном сахарном рожке в глазури. Лента	70	4606068029005	12 месяцев	СТМ Лента рожок  маленький (маркировка Честный знак)																																			
Мороженое пломбир ванильный в вафельном сахарном рожке в глазури. Лента 	70*4	4606068029012	12 месяцев	СТМ Лента микс рожок 																																			
"Мороженое пломбир фисташковый с фисташками и кешью в вафельном сахарном рожке в глазури ""Как раньше"""	100	4600236004252	12 месяцев	"рожок ""Как раньше"""																																			
Мороженое пломбир фисташковый с фисташками и кешью в вафельном сахарном рожке в глазури. Лента	100	4606068282189	12 месяцев	СТМ Лента рожок  																																			
"Эскимо пломбир ванильный в ""шоколадной"" глазури ""Как раньше"""	80	4600236000377	12 месяцев	"эскимо ""Как раньше"""																																			
"Эскимо пломбир крем-брюле в ""шоколадной"" глазури ""Как раньше"""	80	4600236000384	12 месяцев	"эскимо ""Как раньше"" "																																			
"Эскимо пломбир шоколадный в ""шоколадной"" глазури ""Как раньше"""	80	4600236003613	12 месяцев	"эскимо ""Как раньше"""																																			
Мороженое пломбир крем-брюле в вафельном стаканчике. Лента	70	4606068241773	12 месяцев	СТМ Лента (маркировка Честный знак)																																			
Мороженое пломбир шоколадный в вафельном стаканчике. Лента	70	4606068241766	12 месяцев	СТМ Лента (маркировка Честный знак)																																			
"Мороженое пломбир с наполнителями ""Яблоко-изюм-печенье"" и ""Яблочный"" и посыпкой из печенья ""Kiss me"" ""Венский яблочный пирог"""	125	4600236001404	12 месяцев	картонный стакан 125г																																			
"Мороженое пломбир с наполнителями ""Малина-печенье"" и ""Малиновый"" с посыпкой из клубники ""Kiss me"" ""Итальянский малиновый пай"""	125	4600236004009	18 месяцев	картонный стакан 125г																																			
"Мороженое сливочное шоколадное с апельсиновым наполнителем с крошкой шоколадного печенья ""Kiss me"" ""Бельгийский шоколадный десерт"""	125	4600236001428	12 месяцев	картонный стакан 125г 																																			
"Мороженое пломбир с клубничным наполнителем и воздушным зефиром ""Kiss me"" ""Французское клубничное суфле"""	125	4600236000896	18 месяцев	картонный стакан 125г																																			
Мороженое пломбир ванильный	2200	4600236003163	18 месяцев	Лоток.Петрохолод 																																			
Мороженое пломбир крем-брюле	2200	4600236003224	12 месяцев	Лоток.Петрохолод																																			
Мороженое пломбир шоколадный 	2200	4600236003255	18 месяцев	Лоток.Петрохолод																																			
Мороженое пломбир со вкусом фисташки	2200	4600236003248	18 месяцев	Лоток.Петрохолод																																			
"Мороженое пломбир ванильный со спиралью из ""Бананового наполнителя"""	2200	4600236003477	12 месяцев	Лоток.Петрохолод																																			
"Мороженое пломбир ванильный с наполнителем ""Клубника"""	2200	4600236003422	12 месяцев 	Лоток.Петрохолод																																			
"Мороженое пломбир ванильный в вафельном стаканчике ""Как раньше"""	70	4600236003590	12 месяцев	Как раньше 																																			
"Мороженое пломбир крем-брюле в вафельном стаканчике ""Как раньше"""	70	4600236003606	12 месяцев	Как раньше 																																			
"Мороженое пломбир шоколадный в вафельном стаканчике ""Как раньше"""	70	4600236001343	12 месяцев	Как раньше																																			
Мороженое пломбир ванильный на сливках в вафельном стаканчике. Петрохолод	90	4600236004481	12 месяцев	Пломбир на сливках																																			
Замороженный взбитый десерт шербет из малины	80	4610018970088	12 месяцев	стаканчик Натур Айс																																			
Замороженный взбитый десерт шербет из черной смородины	80	4610018970071	12 месяцев	стаканчик Натур Айс																																			
Замороженный взбитый десерт шербет из манго	80	4610018970095	12 месяцев	стаканчик Натур Айс																																			
Мороженое пломбир ванильный. Лента	400	4606068022457	12 месяцев	СТМ Лента Лоток. 																																			
Мороженое пломбир крем-брюле. Лента	400	4606068022464	12 месяцев	СТМ Лента Лоток. 																																			
Мороженое пломбир шоколадный с шоколадной крошкой. Лента	400	4606068022471	12 месяцев	СТМ Лента Лоток. 																																			
"Мороженое пломбир с наполнителем ""Лесные ягоды"". Лента"	400	4606068022495	12 месяцев	СТМ Лента Лоток. 																																			
Мороженое пломбир фисташковый с фисташками. Лента	400	4606068022488	12 месяцев	СТМ Лента Лоток. 																																			
Мороженое пломбир со вкусом фисташки с миндалем. Selection of OKEY	400	4600236004849	18 месяцев	СТМ Окей пинта 																																			
"Мороженое пломбир шоколадный с наполнителем ""Вишня"". Selection of OKEY"	400	4600236004832	18 месяцев	СТМ Окей пинта  																																			
"Мороженое пломбир со вкусом клубники со сливками с наполнителем ""Клубника"". Selection of OKEY"	400	4600236004825	18 месяцев	СТМ Окей пинта 																																			
Мороженое эскимо пломбир ванильный в глазури. Лента	80	4606068035952	12 месяцев	СТМ Лента Эскимо.(маркировка Честный знак)																																			
Мороженое эскимо пломбир шоколадный в глазури с арахисом. Лента	80	4606068035969	12 месяцев	СТМ Лента Эскимо с арахисом.  (маркировка Честный знак)																																			
Мороженое эскимо пломбир ассорти:                                                                              1. Мороженое эскимо пломбир ванильный в глазури. Лента                                               2. Мороженое эскимо пломбир шоколадный в глазури с арахисом. Лента 	80*4	4606068035976	12 месяцев	СТМ Лента МИКС эскимо 																																			
Мороженое с ароматом ванили с заменителем молочного жира. Петрофуд	2200	4600236004146	18 месяцев	Лоток Петрофуд																																			
Мороженое с заменителем молочного жира шоколадное. Петрофуд	2200	4600236004153	18 месяцев	Лоток Петрофуд																																			
"Мороженое пломбир ванильный ""Как раньше"""	220	4600236001206	12 месяцев	"брикет ""Как раньше"" "																																			
"Мороженое пломбир крем-брюле ""Как раньше"""	220	4600236001220	12 месяцев	"брикет ""Как раньше"" "																																			
"Мороженое пломбир ванильный с шоколадной крошкой ""Как раньше"""	220	4600236004016	12 месяцев	"брикет ""Как раньше"" "																																			
"Мороженое пломбир ванильный с грецким орехом и наполнителем с ароматом сиропа клена. ""Кленовый грильяж"""	400	4600236004566	18 месяцев	СТМ Окей (маркировка Честный знак)																																			
"Мороженое пломбир с наполнителем ""Яблоко-изюм-печенье"". ""Яблочный штрудель"""	400	4600236004559	18 месяцев	СТМ Окей (маркировка Честный знак)																																			
"Мороженое пломбир с наполнителем ""Вишня"" и кусочками темного шоколада ""Cherry & Chocolate"""	300	4600236004757	12 месяцев	Картонный стакан 300г																																			
"Мороженое пломбир со вкусом кофе с молочной солёной карамелью ""Latte & Caramel"""	300	4600236004771	12 месяцев	Картонный стакан 300г 																																			
"Мороженое пломбир с экстактом базилика, с десертом замороженным шербет с соком клубника ""Strawberry & Cream"""	350	4600236004764	12 месяцев	Картонный стакан 350г																																			
Мороженое эскимо пломбир крем-брюле в белой глазури	70	4620032653850	18 месяцев	Филевское																																			
Мороженое двухслойное пломбир с ароматом клубники и банана	55	4620032653911	18 месяцев	Инстинкт																																			
"Мороженое эскимо сливочное с ароматом карамели с ""Вареным сгущенным молоком"" в молочно-шоколадной глазури с миндалем и бисквитной крошкой"	80	4620032653966	18 месяцев	Семейное																																			
Мороженое с заменителем молочного жира с ароматом манго в вафельном стаканчике	100	4620032653973	18 месяцев	От Деда Мороза																																			
Мороженое пломбир крем-брюле с молочно-шоколадной глазурью в вафельном стаканчике	100	4620032653867	18 месяцев	Филевский стаканчик																																			
Мороженое двухслойное сливочное с ароматом вишни и с ароматом фисташки в вафельном стаканчике	90	4620032653928	18 месяцев	Жемчужина России 																																			
Мороженое с заменителем молочного жира ванильное с клюквенным наполнителем в вафельном сахарном рожке с молочно-шоколадной глазурью	120	4620032653942	18 месяцев	От Деда Мороза																																			
Мороженое с заменителем молочного жира крем-брюле, декорированное варёным сгущённым молоком в вафельном сахарном рожке с молочно-шоколадной глазурью	120	4620032653959	18 месяцев	От Деда Мороза																																			
Мороженое сливочное ванильное в печенье с какао	80	4620032653904	18 месяцев	Жемчужина России																																			
"Мороженое двухслойное с заменителем молочного жира ванильное и с ароматом малины с наполнителем ""Малиновый"""	100	4620032653997	18 месяцев	От Деда Мороза																																			
Мороженое двухслойное с заменителем молочного жира ванильное и крем-брюле с мягкой карамелью, декорированное арахисом 	100	4620032654000	18 месяцев	От Деда Мороза																																			
Мороженое эскимо сливочное ванильное в шоколадной глазури с фундуком и кешью	75	4620032653935	18 месяцев	Ленинградское																																			
Мороженое эскимо сливочное ванильное в шоколадной глазури. Петрохолод	70	4620032653980	18 месяцев	Петрохолод																																			
Мороженое ванильное	450	4620032653874	24 месяца	Delice																																			
Мороженое ванильное с клубничным наполнителем	450	4620032653881	24 месяца	Delice																																			
Мороженое шоколадное 	450	4620032653898	24 месяца	Delice																																			
Основа фруктовая замороженная для коктелей ассорти: Pornstar martini, Mojito, Mojito strawberry	600	4620032653843	6 месяцев	основа фруктовая замороженая для коктейля																																			
"Мороженое пломбир ванильный с шоколадной крошкой ""Как раньше"""	400	4620032654055	18 месяцев	пакет Петрохолод 																																			
Мороженое сливочное ванильное в шоколадно-сливочной взбитой глазури. Лакомочка	90	4620032654017	18 месяцев																																				
Мороженое  пломбир ванильный с крошкой из молочного шоколада в вафельном стаканчике «Как раньше»	90	4620032654024	18 месяцев	Как раньше																																			
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
