Наименование мороженого	Масса порции,г	Единичный штрих-код / меняем на 	Срок хранения при t минус 18°С, не более	комментарий																																			
"Мороженое эскимо пломбир с ароматом малины в шоколадной глазури, с начинкой ""Чёрная смородина"", в молочно-шоколадной глазури"	80	4620032653157	18 месяцев	МАГНУМ 																																			
Мороженое эскимо сливочное ванильное в шоколадной глазури	60	4620032653263	18 месяцев	Семейное																																			
"Мороженое молочное с фруктами с наполнителем ""Яблоко-груша"""	80	4607067933874	18 месяцев	шербет																																			
"Мороженое пломбир ванильный в вафельном стаканчике с шоколадной глазурью, декорированное кремом ""Филёвский с розочкой"""	90	4607067935489	18 месяцев	Филевский стаканчик c розочкой																																			
Мороженое пломбир ванильный в вафельном стаканчике	90	4607067935113	12 месяцев	СТМ Новая Голландия																																			
Мороженое пломбир шоколадный в вафельном стаканчике	90	4607067937063	12 месяцев	СТМ Новая Голландия																																			
Мороженое пломбир ванильный в вафельном стаканчике	70	4620032651030	12 месяцев	СТМ Кремлевская набережная																																			
Мороженое пломбир ванильный  в вафельном стаканчике 	100	4620032651900	5 месяцев	без упаковки																																			
Мороженое пломбир ванильный с шоколадной крошкой в вафельном стаканчике 	100	4620032651917	5 месяцев	без упаковки																																			
Мороженое сливочное с ароматом фисташки в вафельном стаканчике 	100	4620032651924	5 месяцев	без упаковки																																			
Мороженое сливочное ванильное  с наполнителем с кусочками ягод «Чёрная смородина» в вафельном стаканчике 	100	4620032651948	5 месяцев	без упаковки																																			
Мороженое сливочное с ароматом жевательной резинки бабл гам  в вафельном стаканчике	100	4620032652563	5 месяцев	без упаковки																																			
Мороженое сливочное с ароматом малины с прослойками малинового наполнителя  в вафельном стаканчике	100	4620032652570	5 месяцев	без упаковки																																			
"Мороженое пломбир в вафельном стаканчике ""Вологодский пломбир"""	100	4607067937698	18 месяцев	"Вологодский пломбир
"																																			
"Мороженое пломбир  ванильный в вафельном стаканчике ""От Деда Мороза"" "	70	4607067932082	18 месяцев	От Деда Мороза																																			
"Мороженое с заменителем молочного жира ванильное в вафельном стаканчике ""От Деда Мороза"""	70	4607067931719	18 месяцев	От Деда Мороза																																			
"Мороженое с заменителем молочного жира  шоколадное в вафельном стаканчике ""От Деда Мороза"""	70	4607067931764	18 месяцев	От Деда Мороза																																			
Мороженое пломбир с наполнителем с кусочками ягод «Брусника» и прослойками наполнителя «Клюква» в вафельном стаканчике «Вологодский пломбир» 	100	4620032651597	18 месяцев	Вологодский пломбир																																			
"Мороженое пломбир с вареным сгущенным молоком в вафельном стаканчике ""Вологодский пломбир"""	100	4620032651207	18 месяцев	"Вологодский пломбир
"																																			
"Мороженое пломбир шоколадный в вафельном стаканчике ""Вологодский пломбир"""	100	4607067938091	18 месяцев	Вологодский пломбир																																			
Мороженое пломбир ванильный в вафельном стаканчике с шоколадной глазурью «Филевский стаканчик»	100	4607067937537	18 месяцев	Филевский стааканчик 																																			
"Мороженое с заменителем молочного жира с ароматом фисташки в вафельном стаканчике ""От Деда Мороза"""	100	4607067935427	18 месяцев	От Деда Мороза 																																			
"Мороженое с заменителем молочного жира с ароматом малины в вафельном стаканчике ""От Деда Мороза"""	100	4607067935984	18 месяцев	От Деда Мороза 																																			
"Мороженое пломбир шоколадный в вафельном стаканчике с шоколадной глазурью ""Филевский стаканчик"""	100	4607067937551	18 месяцев	Филевский стаканчик 																																			
Мороженое с заменителем молочного жира с ароматом жевательной резинки бабл гам в вафельном стаканчике	70	4607067937896	18 месяцев	Кот 																																			
"Мороженое пломбир ванильный с варёным сгущённым молоком в вафельном стаканчике ""От Деда Мороза"" "	70	4607067932099	18 месяцев	От Деда Мороза 																																			
"Мороженое с заменителем молочного жира ванильное с шоколадной крошкой в вафельном стаканчике ""От Деда Мороза"""	70	4607067931733	18 месяцев	От Деда Мороза 																																			
"Мороженое с заменителем молочного жира  ванильное с клубничным джемом в вафельном стаканчике ""От Деда Мороза"""	70	4607067931740	18 месяцев	От Деда Мороза 																																			
"Мороженое пломбир с крошкой из молочного шоколада в вафельном стаканчике ""Вологодский пломбир"""	100	4620032652075	18 месяцев	Вологодский пломбир 																																			
"Мороженое с заменителем молочного жира с ароматом дыни в вафельном стаканчике ""От Деда Мороза"""	100	4607067937735	18 месяцев	От Деда Мороза 																																			
Мороженое пломбир ванильный в вафельном стаканчике	90	4607067938213	18 месяцев	Куйбышевское 																																			
"Мороженое с заменителем молочного жира ванильное в вафельном стаканчике ""Любимый"""	75	4607032153665	18 месяцев	Любимый Ледяной дом 																																			
"Мороженое пломбир ванильный в вафельном стаканчике ""От Деда Мороза"""	80	4620032650996	18 месяцев	плоский стакан От Деда Мороза 																																			
"Мороженое пломбир ванильный в вафельном стаканчике ""Жемчужина России"""	90	4620032652495	12 месяцев	Жемчужина России 																																			
Мороженое молочное с чёрной смородиной	80	4600625311688	18 месяцев	шербет 																																			
Мороженое пломбир крем-брюле в вафельном стаканчике	100	4620032652938	18 месяцев	СТМ Х5 Светаево 																																			
"Мороженое пломбир ванильный с наполнителем ""Черника"" с кусочками ягод в вафельном стаканчике"	100	4620032652945	18 месяцев	СТМ Х5 Светаево																																			
Мороженое пломбир ванильный в вафельном стаканчике	100	4620032652952	18 месяцев	СТМ Х5 Светаево																																			
Мороженое пломбир шоколадный в вафельном стаканчик	100	4620032652969	18 месяцев	СТМ Х5 Светаево																																			
Мороженое пломбир ванильный в вафельном стаканчике	90	4620032652891	18 месяцев	Ярославское																																			
Мороженое пломбир крем-брюле в вафельном стаканчике	90	4620032652907	18 месяцев	Ярославское																																			
Мороженое пломбир ванильный в вафельном стаканчике	70	4620032653003	18 месяцев	СТМ Тандер Снежное лакомство																																			
Мороженое пломбир ванильный в вафельном стаканчике	70	4620032653034	18 месяцев	СТМ Тандер Магнит																																			
Мороженое двухслойное сливочное с ароматом лайма и с ароматом клубники в вафельном стаканчике	90	4620032653096	18 месяцев	Жемчужина России 																																			
Мороженое двухслойное сливочное шоколадное и с ароматом фундука в вафельном стаканчике	90	4620032653102	18 месяцев	Жемчужина России 																																			
Мороженое пломбир в вафельном стаканчике	90	4620032653409	18 месяцев	СТМ Х5 Станция молочная																																																																								
"Мороженое с заменителем молочного жира ванильное в вафельном сахарном рожке с шоколадной глазурью ""Снежное Лакомство"""	120	2010001740117	12 месяцев	СТМ Тандер Снежное Лакомство																																			
"Мороженое с заменителем молочного жира ванильное в вафельном сахарном рожке с  шоколадной глазурью ""От Деда Мороза"" "	100	4600625313880	18 месяцев	От Деда Мороза																																			
Мороженое пломбир ванильный в вафельном сахарном рожке	120	4607067937995	12 месяцев	СТМ МЕТРО (Fine Life)																																			
Мороженое пломбир ванильный в вафельном сахарном рожке в шоколадной глазури 	60	4607067939401	12 месяцев	СТМ Новая Голландия																																			
"Мороженое пломбир в вафельном сахарном рожке ""Вологодский пломбир"""	130	4607067938374	18 месяцев	Вологодский пломбир																																			
"Мороженое сливочное ванильное в вафельном сахарном рожке с шоколадной глазурью ""Жемчужина России"""	110	4607067936882	18 месяцев	Жемчужина России																																			
Мороженое пломбир с наполнителем с кусочками ягод «Чёрная смородина» и прослойками наполнителя «Клюква» в вафельном сахарном рожке «Вологодский пломбир» 	120	4620032651580	18 месяцев	Вологодский пломбир 																																			
"Мороженое пломбир ванильный в вафельном сахарном рожке в шоколадной глазури ""Филёвский"""	60	4607067934406	18 месяцев	Филёвский 																																			
Мороженое пломбир ванильный «ваниль-бурбон» с клубничной начинкой в вафельном сахарном рожке с молочно-шоколадной глазурью, декорированное шоколадными шариками 	80	4620032652334	12 месяцев	Инстинкт 																																			
Мороженое пломбир шоколадный с абрикосовой начинкой в вафельном сахарном рожке с молочно-шоколадной глазурью, декорированное шоколадной крошкой 	80	4620032652358	12 месяцев	Инстинкт 																																			
"Мороженое с заменителем молочного жира ванильное с клюквенным наполнителем в вафельном сахарном   рожке с  шоколадной глазурью ""От Деда Мороза"" "	140	4607067932143	18 месяцев	От Деда Мороза 																																			
